module,section_code,document_name,applicability,normalization_status,check_index,validation_check
"Модуль 1","1.2.1","Сертификат на фармацевтический продукт согласно рекомендации Всемирной организации здравоохранения (нотариально засвидетельствованный) (при наличии) или Сертификат (регистрационное удостоверение) о регистрации в стране-производителе (нотариально засвидетельствованный (при наличии)","conditional_required","ready_for_code","3","Проверить заверение: нотариальное удостоверение/апостиль/легализация, если применимо."
"Модуль 1","1.2.1","Сертификат на фармацевтический продукт согласно рекомендации Всемирной организации здравоохранения (нотариально засвидетельствованный) (при наличии) или Сертификат (регистрационное удостоверение) о регистрации в стране-производителе (нотариально засвидетельствованный (при наличии)","conditional_required","ready_for_code","4","Сверить сведения с заявкой и связанными разделами досье."
"Модуль 1","1.2.1","Сертификат на фармацевтический продукт согласно рекомендации Всемирной организации здравоохранения (нотариально засвидетельствованный) (при наличии) или Сертификат (регистрационное удостоверение) о регистрации в стране-производителе (нотариально засвидетельствованный (при наличии)","conditional_required","ready_for_code","5","Сверить наименование, адрес и роль каждой производственной площадки с заявкой и 3.2.P/3.2.S."
"Модуль 1","1.2.1","Сертификат на фармацевтический продукт согласно рекомендации Всемирной организации здравоохранения (нотариально засвидетельствованный) (при наличии) или Сертификат (регистрационное удостоверение) о регистрации в стране-производителе (нотариально засвидетельствованный (при наличии)","conditional_required","ready_for_code","6","Сверить качественный/количественный состав с формой заявки, 3.2.P.1, 3.2.P.3.2 и макетами/ОХЛП."
"Модуль 1","1.2.1","Сертификат на фармацевтический продукт согласно рекомендации Всемирной организации здравоохранения (нотариально засвидетельствованный) (при наличии) или Сертификат (регистрационное удостоверение) о регистрации в стране-производителе (нотариально засвидетельствованный (при наличии)","conditional_required","ready_for_code","7","Сверить лекарственную форму, дозировку/концентрацию и количество единиц упаковки с заявкой."
"Модуль 1","1.2.1","Сертификат на фармацевтический продукт согласно рекомендации Всемирной организации здравоохранения (нотариально засвидетельствованный) (при наличии) или Сертификат (регистрационное удостоверение) о регистрации в стране-производителе (нотариально засвидетельствованный (при наличии)","conditional_required","ready_for_code","8","Проверить наличие казахской и русской версий, структуру, актуальность, соответствие ДСМ-101/Реш.88 и данным заявки."
"Модуль 1","1.2.1","Сертификат GMP (с указанием даты и результатов последней инспекции) (нотариально засвидетельствованный) или адрес сайта реестра выданных уполномоченным органом сертификатов соответствия требованиям GMP (например, Eudra GMP) в информационно-коммуникационной сети ""Интернет""","conditional_required","ready_for_code","1","Наличие требуемой документации: Сертификат GMP (с указанием даты и результатов последней инспекции) (нотариально засвидетельствованный) или апостилированнный"
"Модуль 1","1.2.1","Сертификат GMP (с указанием даты и результатов последней инспекции) (нотариально засвидетельствованный) или адрес сайта реестра выданных уполномоченным органом сертификатов соответствия требованиям GMP (например, Eudra GMP) в информационно-коммуникационной сети ""Интернет""","conditional_required","ready_for_code","2","Условия/применимость из памятки: 1.Действующий сертификат соответствия требованиям надлежащей производственной практики (GMP), с даты инспекции которого прошло не более 3 (трех) лет; 2. Сертификат GMP необходимо представлять в полном объеме, с указанием всех страниц, частей. 3. Наименование и адрес производственной площадки лекарственного препарата соответствует информации изложенной в заявлении на проведение экспертизы лекарственного средства, документах регистрационного досье - проекты ОХЛП, инструкции по медицинскому применению (ЛВ), НД по качеству, 2.3.Р.1. Описание и состав лекарственного препарата, 3.2.Р.1. Описание и состав лекарственного препарата. 4.В случае, если производство лекарственного препарата осуществляется на разных производственных площадках сертификат GMP представляется на каждого производителя."
"Модуль 1","1.2.1","Сертификат GMP (с указанием даты и результатов последней инспекции) (нотариально засвидетельствованный) или адрес сайта реестра выданных уполномоченным органом сертификатов соответствия требованиям GMP (например, Eudra GMP) в информационно-коммуникационной сети ""Интернет""","conditional_required","ready_for_code","3","Проверить заверение: нотариальное удостоверение/апостиль/легализация, если применимо."
"Модуль 1","1.2.1","Сертификат GMP (с указанием даты и результатов последней инспекции) (нотариально засвидетельствованный) или адрес сайта реестра выданных уполномоченным органом сертификатов соответствия требованиям GMP (например, Eudra GMP) в информационно-коммуникационной сети ""Интернет""","conditional_required","ready_for_code","4","Проверить дату выдачи, срок действия и актуальность документа."
