module,section_code,document_name,applicability,normalization_status,check_index,validation_check
"Модуль 1","1.2.2","Лицензионный договор (соглашение) на право производства (до истечения срока действия патента на оригинальный препарат)","needs_new_param","needs_param","2","И/ИЛИ Копию лицензионного соглашения, которое дает право на производство и продажу зарегистрированного лекарственного препарата."
"Модуль 1","1.2.2","Лицензионный договор (соглашение) на право производства (до истечения срока действия патента на оригинальный препарат)","needs_new_param","needs_param","3","ИЛИ Письменное подтверждение ДРУ/производителя, что регистрация лекарственного препарата не нарушает прав третьих лиц на интеллектуальную собственность#"
"Модуль 1","1.2.2","Лицензионный договор (соглашение) на право производства (до истечения срока действия патента на оригинальный препарат)","needs_new_param","needs_param","4","* Для оригинальных лекарственных препаратов, и возможно для воспроизведенных, гибридных, биосимиляров при наличии лицензионного соглашения # Для воспроизведенных, гибридных, биосимиляров, ХИП и др."
"Модуль 1","1.2.3","Сведения о регистрации лекарственного средства в других странах с указанием номера и даты регистрационного удостоверения (или копии сертификата или регистрационного удостоверения)","conditional_required","ready_for_code","1","Перечень стран, в которых лекарственный препарат подан на регистрацию, зарегистрирован, получил отказ в регистрации или его обращение на рынке было приостановлено с указанием номера, даты выдачи и срока действия регистрационного удостоверения Или Копии сертификата о регистрации/ регистрационного удостоверения"
"Модуль 1","1.2.3","Сведения о регистрации лекарственного средства в других странах с указанием номера и даты регистрационного удостоверения (или копии сертификата или регистрационного удостоверения)","conditional_required","ready_for_code","2","Информация должна соответствовать данным раздела 19 заявления на проведение экспертизы лекарственного средства"
"Модуль 1","1.2.4","Копия охранного документа на товарный знак","conditional_required","ready_for_code","1","Свидетельство на товарный знак с указанием даты выдачи и сроком действия, признаваемый на территории Республики Казахстан и имеющий статус действующего"
"Модуль 1","1.2.4","Копия охранного документа на товарный знак","conditional_required","ready_for_code","2","Информация должна соответствовать данным раздела 20 заявления на проведение экспертизы лекарственного средства"
"Модуль 1","1.2.5","Декларация о том, что в проектах общей характеристике лекарственного препарата и инструкции по медицинскому применению лекарственного средства (листок-вкладыш) (далее – ОХЛП и Инструкция ЛС)воспроизведенного, гибридного или биоаналогичного (биоподобного) лекарственного препарата отсутствуют отличия от действующих ОХЛП и Инструкции ЛС оригинального (референтного) лекарственного препарата, за исключением отличий информации о производителе, сроке годности, составе вспомогательных веществ незначимые различия в биодоступности или фармакокинетике.","conditional_required","ready_for_code","1","Декларация о том, что в проектах общей характеристике лекарственного препарата и инструкции по медицинскому применению лекарственного средства (листок-вкладыш) (далее – ОХЛП и Инструкция ЛС) воспроизведенного, гибридного или биоаналогичного (биоподобного) лекарственного препарата отсутствуют отличия от действующих ОХЛП и Инструкции ЛС оригинального (референтного) лекарственного препарата, за исключением отличий информации о производителе, сроке годности, составе вспомогательных веществ незначимые различия в биодоступности или фармакокинетике."
"Модуль 1","1.2.5","Декларация о том, что в проектах общей характеристике лекарственного препарата и инструкции по медицинскому применению лекарственного средства (листок-вкладыш) (далее – ОХЛП и Инструкция ЛС)воспроизведенного, гибридного или биоаналогичного (биоподобного) лекарственного препарата отсутствуют отличия от действующих ОХЛП и Инструкции ЛС оригинального (референтного) лекарственного препарата, за исключением отличий информации о производителе, сроке годности, составе вспомогательных веществ незначимые различия в биодоступности или фармакокинетике.","conditional_required","ready_for_code","2","1.При процедуре регистрации, перерегистрации."
"Модуль 1","1.2.5","Декларация о том, что в проектах общей характеристике лекарственного препарата и инструкции по медицинскому применению лекарственного средства (листок-вкладыш) (далее – ОХЛП и Инструкция ЛС)воспроизведенного, гибридного или биоаналогичного (биоподобного) лекарственного препарата отсутствуют отличия от действующих ОХЛП и Инструкции ЛС оригинального (референтного) лекарственного препарата, за исключением отличий информации о производителе, сроке годности, составе вспомогательных веществ незначимые различия в биодоступности или фармакокинетике.","conditional_required","ready_for_code","3","2.Лекарственный препарат относится к воспроизведенному, гибридному или биоаналогичному (биоподобному)"
"Модуль 1","1.2.6","Резюме (до 5 страниц) обоснований и фактов, показывающих, что лекарственный препарат является воспроизведенным, гибридным или биоаналогичным (биоподобным) лекарственным препаратом соответствующего оригинального (биологического) лекарственного препарата.","conditional_required","ready_for_code","1","Резюме (до 5 страниц) обоснований и фактов, показывающих, что лекарственный препарат является воспроизведенным, гибридным или биоаналогичным (биоподобным) лекарственным препаратом."
"Модуль 1","1.2.6","Резюме (до 5 страниц) обоснований и фактов, показывающих, что лекарственный препарат является воспроизведенным, гибридным или биоаналогичным (биоподобным) лекарственным препаратом соответствующего оригинального (биологического) лекарственного препарата.","conditional_required","ready_for_code","2","Указанное резюме должно содержать информацию о препарате, его качественном составе и количественном содержании в нем активного вещества, его лекарственной форме и профиле безопасности и (или) эффективности его активного вещества по сравнению с активным веществом оригинального препарата, а также при необходимости сведения о биологической доступности и биоэквивалентности данного препарата."
"Модуль 1","1.2.6","Резюме (до 5 страниц) обоснований и фактов, показывающих, что лекарственный препарат является воспроизведенным, гибридным или биоаналогичным (биоподобным) лекарственным препаратом соответствующего оригинального (биологического) лекарственного препарата.","conditional_required","ready_for_code","3","1.При процедуре регистрации, перерегистрации лекарственного препарата"
"Модуль 1","1.2.6","Резюме (до 5 страниц) обоснований и фактов, показывающих, что лекарственный препарат является воспроизведенным, гибридным или биоаналогичным (биоподобным) лекарственным препаратом соответствующего оригинального (биологического) лекарственного препарата.","conditional_required","ready_for_code","4","Лекарственный препарат относится к воспроизведенному, гибридному или биоаналогичному (биоподобному)"
"Модуль 1","1.3","Общая характеристика лекарственного средства, инструкция по медицинскому применению (листок-вкладыш), маркировка (цветные макеты):","always_required","ready_for_code","",""
"Модуль 1","1.3.1","Общая характеристика лекарственного препарата с датой последнего пересмотра","always_required","ready_for_code","1","Заверенная держателем регистрационного удостоверения копия общей характеристики лекарственного препарата с датой последнего пересмотра"
"Модуль 1","1.3.2","Утвержденная инструкция по медицинскому применению лекарственного средства (для организаций-производителей стран Содружества Независимых Государств), заверенная организацией-производителем","needs_new_param","needs_param","1","Утвержденный Уполномоченным органом страны производителя и (или) страны-держателя регистрационного удостоверения."
"Модуль 1","1.3.2","Утвержденная инструкция по медицинскому применению лекарственного средства (для организаций-производителей стран Содружества Независимых Государств), заверенная организацией-производителем","needs_new_param","needs_param","2","Представляется для стран Содружества Независимых Государств (если они являются производителями)"
"Модуль 1","1.3.3","Проекты общей характеристики лекарственного средства (ОХЛС), инструкции по медицинскому применению лекарственного средства на казахском и русском языках","always_required","ready_for_code","1","Проект общей характеристики лекарственного препарата и проект инструкции по медицинскому применению лекарственного препарата на русском и казахском языках"
